img_rmbg_path,tsne-0,tsne-1
/home/put_data/moth/data/whole_crop/V24-20160312-049.png,-15.155143,44.756847
/home/put_data/moth/data/whole_crop/V04-20130411-010.png,9.889907,52.455017
/home/put_data/moth/data/whole_crop/V20-20151016-017.png,9.232127,-57.901287
/home/put_data/moth/data/whole_crop/V12-20130628-163.png,-40.748703,40.414806
/home/put_data/moth/data/whole_crop/V15-20150321-047.png,9.570235,1.9899939
/home/put_data/moth/data/whole_crop/A35-20140923-116.png,28.512634,33.31709
/home/put_data/moth/data/whole_crop/V03-20140917-039.png,11.106939,28.05317
/home/put_data/moth/data/whole_crop/V23-20150726-034.png,-12.107872,-69.84006
/home/put_data/moth/data/whole_crop/A38-20140925-156.png,18.895092,23.463957
/home/put_data/moth/data/whole_crop/V13-20141018-083.png,1.562329,39.888348
/home/put_data/moth/data/whole_crop/A52-20160601-102.png,-14.879015,45.36125
/home/put_data/moth/data/whole_crop/A43-20160308-239.png,8.442033,5.662896
/home/put_data/moth/data/whole_crop/A43-20160308-053.png,7.3422513,-22.824541
/home/put_data/moth/data/whole_crop/A34-20140428-099.png,-35.01251,51.678104
/home/put_data/moth/data/whole_crop/V13-20140725-076.png,7.409517,-67.365234
/home/put_data/moth/data/whole_crop/A43-20150611-173.png,33.70374,24.617535
/home/put_data/moth/data/whole_crop/V20-20151212-018.png,10.765299,-56.56474
/home/put_data/moth/data/whole_crop/V15-20150717-017.png,27.364166,-82.07069
/home/put_data/moth/data/whole_crop/V03-20130708-066.png,8.25225,13.362526
/home/put_data/moth/data/whole_crop/V13-20130928-001.png,-18.003908,24.760836
/home/put_data/moth/data/whole_crop/V02-20140303-059.png,-19.284185,-36.637226
/home/put_data/moth/data/whole_crop/V22-20160728-040.png,18.524822,-13.813498
/home/put_data/moth/data/whole_crop/V04-20130606-152.png,-12.734683,31.893103
/home/put_data/moth/data/whole_crop/A48-20160425-064.png,8.835154,0.3260843
/home/put_data/moth/data/whole_crop/A35-20131202-053.png,22.618074,-13.815445
/home/put_data/moth/data/whole_crop/V15-20140721-033.png,13.777326,-23.622885
/home/put_data/moth/data/whole_crop/V17-20150912-045.png,4.1508446,-14.763266
/home/put_data/moth/data/whole_crop/V18-20150211-060.png,20.035868,-80.23321
/home/put_data/moth/data/whole_crop/A37-20160504-125.png,2.943371,-37.74614
/home/put_data/moth/data/whole_crop/A35-20160111-216.png,7.955319,-11.026883
/home/put_data/moth/data/whole_crop/A38-20141120-031.png,0.86375624,41.59126
/home/put_data/moth/data/whole_crop/A38-20140728-120.png,37.941216,24.2313
/home/put_data/moth/data/whole_crop/V12-20130528-062.png,-34.741142,32.80783
/home/put_data/moth/data/whole_crop/A35-20150609-040.png,-0.35678047,-16.888582
/home/put_data/moth/data/whole_crop/V02-20140303-068.png,-17.578152,4.609021
/home/put_data/moth/data/whole_crop/V26-20160422-005.png,-5.749679,-57.482506
/home/put_data/moth/data/whole_crop/V06-20140502-032.png,26.739143,22.741825
/home/put_data/moth/data/whole_crop/V20-20160805-050.png,31.072433,-41.138645
/home/put_data/moth/data/whole_crop/A34-20140826-087.png,30.223646,36.68442
/home/put_data/moth/data/whole_crop/V10-20140730-059.png,-1.1244062,-33.9505
/home/put_data/moth/data/whole_crop/V02-20130930-034.png,-13.86663,-61.717712
/home/put_data/moth/data/whole_crop/V20-20160603-094.png,12.1547785,63.461704
/home/put_data/moth/data/whole_crop/V08-20130607-025.png,0.013709358,-12.397957
/home/put_data/moth/data/whole_crop/A40-20140924-076.png,1.3790815,-1.9866424
/home/put_data/moth/data/whole_crop/V15-20140627-071.png,1.8888944,-0.23441201
/home/put_data/moth/data/whole_crop/V04-20140721-090.png,-20.556929,45.51319
/home/put_data/moth/data/whole_crop/A36-20130606-033.png,45.295784,16.627104
/home/put_data/moth/data/whole_crop/A34-20151209-032.png,-19.615767,59.167965
/home/put_data/moth/data/whole_crop/V10-20131004-025.png,21.661325,-76.917244
/home/put_data/moth/data/whole_crop/V10-20140328-010.png,2.011268,-33.485977
/home/put_data/moth/data/whole_crop/V12-20131028-025.png,-7.151054,42.114807
/home/put_data/moth/data/whole_crop/V09-20140719-001.png,14.006736,-34.963364
/home/put_data/moth/data/whole_crop/A35-20160502-130.png,-0.94242334,29.364792
/home/put_data/moth/data/whole_crop/V17-20151107-025.png,23.643267,-80.775925
/home/put_data/moth/data/whole_crop/V13-20131102-069.png,30.695807,-50.482594
/home/put_data/moth/data/whole_crop/V01-20160407-023.png,13.739996,12.098368
/home/put_data/moth/data/whole_crop/A34-20140826-104.png,12.267886,-19.480194
/home/put_data/moth/data/whole_crop/A34-20140626-003.png,22.38103,-76.62382
/home/put_data/moth/data/whole_crop/V18-20160701-027.png,-2.8659089,-6.454919
/home/put_data/moth/data/whole_crop/A35-20150811-202.png,5.4691505,-67.21556
/home/put_data/moth/data/whole_crop/V19-20150515-163.png,22.309837,22.569588
/home/put_data/moth/data/whole_crop/A46-20160426-017.png,-0.23198834,13.478097
/home/put_data/moth/data/whole_crop/V10-20150116-016.png,21.46593,-56.640587
/home/put_data/moth/data/whole_crop/V15-20140721-047.png,9.092124,-61.097797
/home/put_data/moth/data/whole_crop/A35-20151209-065.png,-4.696327,-52.873375
/home/put_data/moth/data/whole_crop/V03-20130606-185.png,-43.359818,39.182487
/home/put_data/moth/data/whole_crop/V08-20140719-012.png,1.1430938,-62.15769
/home/put_data/moth/data/whole_crop/A35-20130605-126.png,17.74824,-84.35298
/home/put_data/moth/data/whole_crop/V05-20140226-020.png,-11.642952,35.3169
/home/put_data/moth/data/whole_crop/V01-20140522-062.png,15.180527,-74.38599
/home/put_data/moth/data/whole_crop/A35-20140923-236.png,26.5693,35.19539
/home/put_data/moth/data/whole_crop/V20-20160603-016.png,27.983019,-82.63034
/home/put_data/moth/data/whole_crop/V17-20141004-003.png,8.533108,19.518
/home/put_data/moth/data/whole_crop/A34-20130902-309.png,-6.1468387,-39.199512
/home/put_data/moth/data/whole_crop/V03-20140303-139.png,-38.269547,32.17727
/home/put_data/moth/data/whole_crop/V02-20140204-103.png,-2.6212823,-34.079475
/home/put_data/moth/data/whole_crop/A35-20160502-018.png,4.9554896,-14.147633
/home/put_data/moth/data/whole_crop/V12-20130628-123.png,-32.566814,50.02621
/home/put_data/moth/data/whole_crop/A40-20140924-187.png,-5.126735,-21.961933
/home/put_data/moth/data/whole_crop/V08-20141120-009.png,11.654284,-67.55402
/home/put_data/moth/data/whole_crop/A33-20130115-012.png,27.86672,49.823257
