inertia,k
137671.70434350526,2
61751.1224292744,3
38944.4884214407,4
30246.655980138898,5
24110.73690778168,6
19021.523828140475,7
16635.78026501784,8
14835.48066826283,9
13185.814712911573,10
12071.690887738885,11
11135.074951514165,12
10485.280447747762,13
9692.937969490238,14
9052.452466825092,15
8511.990581606004,16
7970.655105493997,17
7583.687867476326,18
7264.9643339828735,19
6831.040207332128,20
